movieId,title,genres,imdbId,tmdbId,year,poster_url
619,Ed (1996),Comedy,116165,32308,1996,https://image.tmdb.org/t/p/w500/oSNX3zyTpRMN0ExtOobt7eaJfPD.jpg
33826,Saint Ralph (2004),Comedy|Drama,384488,25248,2004,https://image.tmdb.org/t/p/w500/3MdWgqUunIBWnc7mYi2dtZrD54Y.jpg
1298,Pink Floyd: The Wall (1982),Drama|Musical,84503,12104,1982,https://image.tmdb.org/t/p/w500/aElHyIdF5jmctFGhlhhaPFsbBJC.jpg
140289,Men & Chicken (2015),Comedy|Drama,3877674,296313,2015,https://image.tmdb.org/t/p/w500/6lZ1EjOoWJiZaGJe38052Hmt73l.jpg
3064,Poison Ivy: New Seduction (1997),Drama|Thriller,119908,18222,1997,https://image.tmdb.org/t/p/w500/l9Z43sz0qjTrmDjXRlChIVoH1JB.jpg
2868,Fright Night Part II (1988),Horror,97390,18086,1988,https://image.tmdb.org/t/p/w500/pNJDLond2y2hQLBnEoczkdFrgZJ.jpg
27826,Touch of Pink (2004),Comedy|Drama|Romance,374277,55177,2004,https://image.tmdb.org/t/p/w500/8FIovz3tPvxXvBY0bySbuo6cbwD.jpg
1950,In the Heat of the Night (1967),Drama|Mystery,61811,10633,1967,https://image.tmdb.org/t/p/w500/fvqHTabYej3LwzKRRZCm6jV3g0O.jpg
27802,Infernal Affairs 2 (Mou gaan dou II) (2003),Action|Crime|Drama|Thriller,369060,11647,2003,https://image.tmdb.org/t/p/w500/q9MCjc4CMXju59slJEzYEtr7F3W.jpg
7149,Something's Gotta Give (2003),Comedy|Drama|Romance,337741,6964,2003,https://image.tmdb.org/t/p/w500/1cpdqe0SpiHzzbOLq9GDUUlZdSl.jpg
4334,Yi Yi (2000),Drama,244316,25538,2000,https://image.tmdb.org/t/p/w500/mR8dSQZI8X6Z1NClJhFrtJp636z.jpg
39234,North Country (2005),Drama,395972,9701,2005,https://image.tmdb.org/t/p/w500/upxUN4zmX79o49mBW9htKZDeNq7.jpg
5562,Snipes (2001),Drama|Thriller,275688,26056,2001,https://image.tmdb.org/t/p/w500/rkBTfdMulRHcT3fg6Vd0o2623Kc.jpg
6678,"Handmaid's Tale, The (1990)",Drama|Sci-Fi,99731,20815,1990,https://image.tmdb.org/t/p/w500/cnkKQyRzoCMZliMaknTOXHqXKaz.jpg
5313,The Scorpion King (2002),Action|Adventure|Fantasy|Thriller,277296,9334,2002,https://image.tmdb.org/t/p/w500/aITIsX20tACn6jgtyDcCYpRT216.jpg
7205,"Wind and the Lion, The (1975)",Adventure,73906,14815,1975,https://image.tmdb.org/t/p/w500/3QLqEZL1kBBfKjVz3nAm5vJruRZ.jpg
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,107225,23637,1992,https://image.tmdb.org/t/p/w500/bwjmjCQBSwwXskE5pNMJfApZBl3.jpg
5849,I'm Starting From Three (Ricomincio da Tre) (1981),Comedy,81427,13386,1981,https://image.tmdb.org/t/p/w500/lS0X9KScgkUbhiu6lOHBya8z9R2.jpg
3075,Repulsion (1965),Drama|Horror,59646,11481,1965,https://image.tmdb.org/t/p/w500/dtyCKEPLqv9wxyVazL4b843vtUb.jpg
5619,"Trials of Henry Kissinger, The (2002)",Documentary,326306,54714,2002,https://image.tmdb.org/t/p/w500/hTzpmKT6w14A33L4ZQElLaZxPvM.jpg
4133,Masters of the Universe (1987),Action|Adventure|Fantasy|Sci-Fi,93507,11649,1987,https://image.tmdb.org/t/p/w500/gaUecXFd31V68yOTJPJYaB9YhAf.jpg
179,Mad Love (1995),Drama|Romance,113729,47608,1995,https://image.tmdb.org/t/p/w500/glhctWoYw1jg8z0FUSwFD4UTNi4.jpg
5364,Unfaithful (2002),Drama|Thriller,250797,2251,2002,https://image.tmdb.org/t/p/w500/bjiHEhuiwhIygzjczbTPAA07cGc.jpg
912,Casablanca (1942),Drama|Romance,34583,289,1942,https://image.tmdb.org/t/p/w500/oyGRZVIthHJjc98ekKpeWpDh8Ws.jpg
2333,Gods and Monsters (1998),Drama,120684,3033,1998,https://image.tmdb.org/t/p/w500/awvJH3NtXoStsjAtXKr99hfuVaG.jpg
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281,1995,https://image.tmdb.org/t/p/w500/rY5BrDRcYAKE0BYmmT66YG6Uy5Q.jpg
7010,"Lover, The (Amant, L') (1992)",Drama|Romance,101316,10995,1992,https://image.tmdb.org/t/p/w500/lgBGy8QaIFD9jQJWgi837czobEp.jpg
6405,Treasure Island (1950),Adventure|Children,43067,6646,1950,https://image.tmdb.org/t/p/w500/zPzBsQZ2EhSmO9FLvQQtWVkJqRu.jpg
3833,"Brain That Wouldn't Die, The (1962)",Horror|Sci-Fi,52646,33468,1962,https://image.tmdb.org/t/p/w500/npg6NH4maZ4NTTWzA71KNCTvQNG.jpg
107141,Saving Mr. Banks (2013),Comedy|Drama,2140373,140823,2013,https://image.tmdb.org/t/p/w500/4RkcUe5PKnYvrCwMjk8giUAoID7.jpg
4610,"January Man, The (1989)",Comedy|Crime|Mystery|Thriller,97613,32059,1989,https://image.tmdb.org/t/p/w500/5CZznrNvFLacr0mb4CYmlpJ4Tsw.jpg
